1 1:273.4125 2:-8.80235 3:7.883241 4:1.7555952 5:1.8110085 6:1.1422675 7:2.7767203 8:-0.9417384 9:1.8046 10:-1.6105835 11:2.1189854 12:-0.9651392 13:3.2117846 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:271.26053 2:-10.114948 3:5.9029775 4:0.54480046 5:2.0013323 6:0.5256266 7:0.82039356 8:-1.6634964 9:1.8369001 10:-1.1689136 11:2.1898854 12:-1.1152091 13:2.2685425 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:274.5431 2:-8.629881 3:7.024028 4:-0.21051666 5:-0.48434344 6:-1.1941532 7:0.36399078 8:-1.662689 9:1.3320138 10:-1.4781466 11:3.0134094 12:-0.50333923 13:2.419033 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:272.9416 2:-8.720571 3:8.359329 4:1.4547632 5:0.7690906 6:-0.097640686 7:1.5880721 8:-0.80277056 9:2.3114505 10:-0.9113989 11:2.4177687 12:-0.67989296 13:2.9197893 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:272.7864 2:-8.640651 3:7.7134624 4:1.2794051 5:2.254864 6:1.7621593 7:1.800401 8:-1.0208772 9:2.2884777 10:-2.0222604 11:1.3419582 12:-1.8083667 13:2.8226228 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:271.87726 2:-10.273695 3:6.319046 4:1.729527 5:1.4214368 6:-0.2943004 7:1.5606738 8:0.15692413 9:3.8226233 10:-0.14259182 11:1.8054358 12:-2.8008184 13:1.8657216 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:273.4813 2:-9.027564 3:6.7894807 4:1.1011562 5:0.4511663 6:-0.90464455 7:0.63281417 8:-2.2530322 9:2.0160656 10:-1.0246482 11:1.4468061 12:-2.2023392 13:3.1319392 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:274.7988 2:-8.711462 3:6.7232924 4:0.2303184 5:0.7884996 6:0.026598169 7:1.1900893 8:-0.38233373 9:2.3686132 10:-1.0838704 11:3.0695355 12:-1.4476758 13:3.492836 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:275.8167 2:-8.153367 3:7.192753 4:0.34730253 5:0.56962 6:-0.30474985 7:1.8301058 8:-0.7517198 9:1.8869855 10:-1.4074771 11:2.2366533 12:-1.8724005 13:1.3331038 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:284.54456 2:-3.7812967 3:4.4581237 4:-3.1607065 5:2.3278959 6:1.3147775 7:2.0632231 8:-1.6626837 9:1.8489414 10:-2.8902264 11:0.06942678 12:-3.7650464 13:2.5022166 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:284.16565 2:-4.695145 3:3.9079502 4:-3.320079 5:2.0765414 6:-0.26209965 7:-0.04180201 8:-0.75628227 9:3.931512 10:-1.5242753 11:1.4566895 12:-2.790146 13:3.0512955 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
