1 1:273.56662 2:-8.825726 3:7.6884184 4:1.4472648 5:1.9000219 6:0.31253886 7:1.5451814 8:0.44167566 9:2.8632681 10:-0.46392107 11:2.4884892 12:-2.297523 13:1.67072 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:275.18234 2:-9.090865 3:6.918058 4:-0.074987456 5:1.5238472 6:0.9334071 7:2.469816 8:-0.7339515 9:0.80763584 10:-1.4660784 11:2.356854 12:-1.1485685 13:2.291521 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:279.70523 2:-7.867875 3:5.2935996 4:-0.87669325 5:3.0748372 6:2.0218022 7:3.4019012 8:0.8593958 9:3.130275 10:-0.59164655 11:3.3431365 12:-0.4093093 13:2.2608635 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:293.98074 2:-2.3045073 3:2.703617 4:-1.1458267 5:6.452312 6:0.8998243 7:0.81967133 8:-1.614985 9:4.681751 10:0.015552214 11:3.3168352 12:-2.4053783 13:2.436433 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:285.58743 2:-5.5559454 3:2.0599146 4:-3.000251 5:3.6993237 6:0.1197364 7:1.037757 8:0.19750907 9:4.73921 10:-1.999867 11:1.8683443 12:-0.77558345 13:2.8232355 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:300.1517 2:2.0670521 3:5.353565 4:-1.883716 5:6.905662 6:3.743573 7:4.4463553 8:-1.3735771 9:3.829879 10:-1.8223438 11:5.174394 12:0.3269012 13:3.5699453 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:317.49545 2:13.736317 3:11.473396 4:-5.2110395 5:5.1694317 6:1.5428689 7:4.2923055 8:-1.6208531 9:5.805743 10:-2.7382786 11:5.4890127 12:-2.1675255 13:5.4588323 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:322.60074 2:17.152044 3:12.259648 4:-6.262569 5:2.6706085 6:0.81445646 7:4.705283 8:-3.4030998 9:5.0746965 10:-4.118692 11:5.1300864 12:-1.8423303 13:5.9618306 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:339.72705 2:23.88933 3:16.739569 4:-5.7097516 5:1.4064295 6:0.056507844 7:5.063714 8:-6.7684255 9:3.8150218 10:-6.553426 11:4.10602 12:-3.340045 13:4.754874 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:348.56424 2:21.524632 3:17.80738 4:-7.758803 5:-1.1323828 6:-1.1496817 7:3.3321168 8:-6.261762 9:3.593147 10:-5.5054913 11:1.9869827 12:-2.5056808 13:3.3934786 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
