1 1:265.40588 2:-9.841508 3:7.3092337 4:2.0449362 5:1.412875 6:-0.86747235 7:0.4291058 8:-0.7139541 9:0.49943197 10:-2.4043252 11:1.0505573 12:-2.8812182 13:2.083642 14:265.40588 15:-9.841508 16:7.3092337 17:2.0449362 18:1.412875 19:-0.86747235 20:0.4291058 21:-0.7139541 22:0.49943197 23:-2.4043252 24:1.0505573 25:-2.8812182 26:2.083642 
1 1:273.55328 2:-8.563596 3:7.3301816 4:0.5639499 5:0.41962522 6:-0.534009 7:0.8393138 8:-0.9498922 9:2.8204253 10:-0.99315405 11:2.509805 12:-1.7727567 13:1.8002067 14:273.55328 15:-8.563596 16:7.3301816 17:0.5639499 18:0.41962522 19:-0.534009 20:0.8393138 21:-0.9498922 22:2.8204253 23:-0.99315405 24:2.509805 25:-1.7727567 26:1.8002067 
1 1:272.93033 2:-9.980209 3:6.85704 4:1.3399168 5:0.9552514 6:-0.75501525 7:0.69293106 8:0.07617736 9:1.8638923 10:-1.6263252 11:2.0260582 12:-1.4253418 13:1.7020206 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:273.6371 2:-9.968068 3:6.9108477 4:1.0750616 5:0.9275602 6:-0.12679416 7:1.4631174 8:-0.3584403 9:1.8500478 10:-0.6452043 11:3.5018113 12:-0.075071216 13:2.5594418 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:273.2406 2:-9.588409 3:7.1475797 4:1.0060633 5:1.6621166 6:0.20944755 7:1.3360803 8:-0.84900206 9:1.8415787 10:-1.5955939 11:2.2254436 12:-0.38921165 13:3.8286614 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:273.24048 2:-9.157229 3:7.3987107 4:1.3448825 5:2.3567812 6:0.41189712 7:1.8569428 8:-0.74893665 9:0.93672884 10:-2.1826508 11:2.7828279 12:-1.377756 13:1.3946245 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:272.56357 2:-9.973276 3:7.2293463 4:1.0646317 5:1.7692673 6:0.5366377 7:1.3419896 8:-1.4750272 9:1.7355524 10:-1.5086105 11:1.5368959 12:-1.7180804 13:2.4335668 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:272.186 2:-10.554171 3:6.769127 4:0.87637126 5:0.46383017 6:-1.3781893 7:1.159695 8:-0.71350956 9:1.2181618 10:-1.5486816 11:2.4471524 12:0.41958562 13:3.6924486 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:274.17197 2:-9.400282 3:6.8026085 4:-0.2146212 5:1.234941 6:0.41813195 7:0.40501183 8:-1.9116807 9:1.3866547 10:-1.3537458 11:1.3158337 12:-2.4321117 13:1.7954601 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:271.2852 2:-11.029845 3:6.1383367 4:0.027543511 5:1.6124157 6:-0.5775194 7:-1.0735294 8:-2.4728901 9:0.2639383 10:-1.4409027 11:1.3065474 12:-2.2156174 13:1.8685303 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:271.95642 2:-10.284987 3:6.328535 4:-0.3046524 5:1.462114 6:1.3999649 7:1.7725849 8:-1.0962908 9:0.758145 10:-1.2463145 11:2.0903058 12:-1.9558004 13:2.4812813 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:273.65964 2:-10.066784 3:7.4126253 4:1.3759336 5:2.5819662 6:0.35142252 7:1.636608 8:-0.6626851 9:1.4487069 10:-2.3478534 11:1.2453141 12:-0.926321 13:2.1940336 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:272.6251 2:-10.252376 3:5.9859195 4:-0.0358775 5:0.9110351 6:-1.4879566 7:-0.10894185 8:-1.4417491 9:1.7428746 10:-0.9824904 11:1.8445437 12:-1.9136868 13:1.6517267 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:272.89084 2:-9.271835 3:7.484894 4:1.3437461 5:1.9305629 6:0.36919078 7:-0.31359014 8:-1.9687345 9:2.0943065 10:-1.0193778 11:1.0006682 12:-2.6900003 13:2.4925845 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:273.20282 2:-10.579868 3:5.8956065 4:0.14401253 5:0.5427667 6:0.2114843 7:1.1619358 8:-1.4120982 9:1.3538727 10:-1.9759485 11:0.5124649 12:-2.7202501 13:1.1565268 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:271.69592 2:-11.071271 3:6.3267255 4:1.3114388 5:1.2656676 6:0.2267758 7:0.92289084 8:-1.5684114 9:1.1984564 10:-1.7806118 11:1.3455532 12:-1.5781301 13:1.7803124 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:273.51514 2:-10.570906 3:6.290597 4:1.261633 5:1.6699816 6:0.00834793 7:1.5169033 8:-0.07213039 9:1.174274 10:-3.2541847 11:0.97851306 12:-2.0205767 13:1.9304703 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:273.04 2:-10.461419 3:8.027374 4:2.3997605 5:1.2561555 6:-0.0669155 7:1.3427051 8:-1.4898525 9:1.5869389 10:-1.4367992 11:1.223474 12:-2.2755454 13:1.7555065 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:274.21683 2:-10.918478 3:5.887856 4:0.69925827 5:1.550415 6:0.013178933 7:0.86513984 8:-1.4809114 9:0.41808823 10:-2.8543878 11:2.2745132 12:-1.0361409 13:2.3554876 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:280.82016 2:-5.3109145 3:6.7063622 4:-1.0639406 5:1.4634796 6:1.5058576 7:3.4942224 8:0.3187303 9:0.52068967 10:-5.154137 11:1.0672002 12:-2.6428084 13:3.1367874 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:289.36264 2:-2.069436 3:6.9136815 4:-2.0358384 5:2.8014421 6:1.8237146 7:3.4692423 8:0.10653612 9:2.2474675 10:-4.2282114 11:0.12717223 12:-2.448037 13:3.9680445 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:281.6169 2:-5.632262 3:4.794671 4:-1.4458554 5:3.3166003 6:0.7752965 7:1.0855626 8:0.46893063 9:4.8293824 10:-1.4575747 11:1.5762979 12:-0.73377055 13:3.708568 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:283.4801 2:-5.1221457 3:5.4702387 4:-1.6371995 5:1.7538714 6:-0.29906914 7:-1.0552791 8:-1.9463876 9:3.5032535 10:-1.5780652 11:2.0013263 12:-1.2809488 13:2.8076243 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:302.07477 2:6.0441175 3:10.982725 4:-1.4140005 5:4.782899 6:2.3532677 7:2.3059964 8:-2.6618338 9:5.329656 10:-0.3662885 11:4.4385014 12:-1.4886166 13:4.75364 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:323.86792 2:16.786308 3:13.829828 4:-4.7111564 5:5.1869774 6:2.9223497 7:3.7812455 8:-5.968254 9:4.631409 10:-2.6379402 11:3.9614663 12:-3.8490725 13:4.711969 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:340.41498 2:23.243078 3:13.631311 4:-7.33714 5:2.8480465 6:0.9060163 7:2.7214823 8:-7.9069796 9:5.6601963 10:-4.32872 11:4.2747164 12:-5.687131 13:4.4763827 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:346.92502 2:24.843946 3:8.726651 4:-11.329363 5:1.9401121 6:2.6392465 7:3.9446976 8:-8.373448 9:7.7967186 10:-5.358946 11:1.3663913 12:-6.425038 13:3.3369517 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:355.13733 2:23.112127 3:7.2615995 4:-10.701072 5:0.49363372 6:5.434767 7:5.6869993 8:-7.945286 9:8.3191 10:-8.233663 11:1.7233695 12:-7.9571567 13:3.7772992 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:354.5818 2:19.242441 3:6.131282 4:-8.749139 5:1.4434819 6:10.359195 7:7.101798 8:-7.2884793 9:8.40837 10:-9.855507 11:0.5429272 12:-8.732323 13:4.493636 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:352.8423 2:20.524899 3:5.9545846 4:-11.903997 5:2.6595755 6:12.847885 7:9.955334 8:-5.912591 9:7.4458 10:-9.883869 11:1.2922165 12:-8.554124 13:4.761643 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:343.86325 2:21.209505 3:9.209245 4:-12.181613 5:1.759337 6:10.31801 7:11.095491 8:-4.240552 9:8.512034 10:-6.8511977 11:1.4978274 12:-8.465295 13:3.6789725 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:325.0608 2:16.215784 3:12.853741 4:-6.6211348 5:1.1204988 6:5.471722 7:8.313262 8:-3.4009514 9:8.014797 10:-3.2630556 11:3.1379473 12:-5.592118 13:3.1306376 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:317.13974 2:11.613153 3:12.499586 4:-2.4409087 5:1.7795738 6:0.9999433 7:8.057131 8:-3.101426 9:4.123961 10:-3.2115672 11:2.867296 12:-3.2053182 13:4.481402 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
1 1:332.75775 2:16.114017 3:13.491434 4:-0.007226158 5:2.0369666 6:-0.45793816 7:7.4873047 8:-4.7360044 9:3.10829 10:-6.3062806 11:2.9568005 12:-3.8658822 13:3.6834464 14:96.84119 15:5.3328004 16:5.950705 17:-0.48291358 18:0.6153065 19:-0.15510413 20:1.4477946 21:-1.6832503 22:0.71998274 23:-2.2090456 24:1.0850675 25:-1.001478 26:0.9092277 
