1 1:285.02438 2:-5.5279536 3:4.2352285 4:0.9556005 5:4.183715 6:-0.17148994 7:0.9391368 8:-1.7358521 9:2.4978049 10:-1.6248256 11:2.2748477 12:-1.6812228 13:2.735376 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:308.0301 2:-0.64448756 3:4.485671 4:5.1467404 5:7.457875 6:4.3236737 7:5.2373304 8:-5.217834 9:2.9065623 10:-2.8885398 11:4.0257297 12:-1.8153358 13:0.8022615 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:292.53738 2:-3.894148 3:2.761099 4:-1.3197302 5:5.7885466 6:1.5754155 7:0.47554076 8:-2.5153322 9:3.960325 10:-2.4426355 11:1.6341174 12:-1.2341015 13:3.405572 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:288.00974 2:-4.4761114 3:3.2620428 4:-2.6161432 5:3.0676079 6:0.50595474 7:0.82349783 8:0.0092917755 9:5.64488 10:-0.79404336 11:2.8334079 12:-0.57823974 13:3.9409606 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:302.94733 2:4.7487183 3:11.177609 4:0.6363252 5:7.4191685 6:1.9902091 7:1.1499877 8:-2.2003381 9:5.950544 10:-1.4507017 11:3.8920124 12:-1.2317234 13:5.351331 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:320.21774 2:11.405346 3:14.17276 4:1.7970178 5:4.4596415 6:0.036826517 7:-2.061689 8:-6.2312684 9:7.093919 10:-6.0896287 11:1.705958 12:-3.1287012 13:5.5424438 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:327.21866 2:14.2196865 3:11.641533 4:-3.6436074 5:1.8069869 6:0.7879412 7:-1.2631061 8:-7.328966 9:8.252271 10:-4.3743634 11:1.3170493 12:-4.4337907 13:3.7077184 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:331.9545 2:14.681964 3:11.33642 4:-2.998523 5:2.3362951 6:2.70137 7:0.6268544 8:-7.2644176 9:8.11373 10:-5.963955 11:0.38895804 12:-5.000651 13:2.7256892 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:339.0687 2:14.591593 3:10.581498 4:-2.2132645 5:-0.6264393 6:3.113914 7:3.8970053 8:-6.8008547 9:7.305942 10:-9.407261 11:1.2866926 12:-5.9895797 13:3.721175 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:339.81396 2:11.364078 3:7.334473 4:-3.2198253 5:2.469204 6:5.548498 7:1.0762513 8:-5.486961 9:8.721481 10:-8.31964 11:0.09170275 12:-6.4056783 13:3.7465553 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:343.01877 2:15.5821705 3:10.674458 4:-4.824886 5:0.31321147 6:6.8056107 7:4.286564 8:-6.790012 9:7.356386 10:-9.152778 11:0.49898228 12:-6.8821435 13:3.2107666 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:333.0303 2:13.801636 3:14.704784 4:-0.79441065 5:-0.70613605 6:4.3488307 7:4.065358 8:-4.1941648 9:8.586552 10:-6.6697745 11:3.7647028 12:-5.656247 13:1.918771 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:324.98224 2:11.364611 3:11.568514 4:1.0419465 5:2.168825 6:0.87383467 7:6.319632 8:-2.0962896 9:7.3058662 10:-4.2798166 11:3.1605814 12:-4.763137 13:2.315481 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:329.8463 2:11.764891 3:10.81831 4:1.6186919 5:1.7157961 6:0.052347627 7:4.6787076 8:-4.468408 9:5.9181113 10:-5.554944 11:3.282197 12:-2.8212068 13:4.2570105 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:345.38782 2:15.561921 3:15.807833 4:0.3739695 5:-1.6641784 6:3.076141 7:1.4267875 8:-6.2653456 9:6.8982368 10:-10.924624 11:3.0725236 12:-2.9085646 13:6.051558 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:358.72958 2:19.58064 3:16.489454 4:-1.8497025 5:-2.1982837 6:4.3463516 7:2.553083 8:-8.0049925 9:6.6570473 10:-14.10457 11:2.3845117 12:-1.2277585 13:5.4432683 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
