1 1:273.01755 2:-8.984229 3:6.7582674 4:-0.5452047 5:0.21930027 6:-0.48870295 7:-0.05653971 8:-1.8812113 9:2.0359476 10:-0.7499224 11:1.3664533 12:-2.8595977 13:1.7525862 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:275.26404 2:-7.742357 3:7.494353 4:0.24456997 5:1.6263095 6:-0.89689153 7:0.8609747 8:-0.9975436 9:1.4892724 10:-1.6583742 11:1.4282752 12:-1.5665708 13:1.7958529 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.60104 2:-9.159854 3:7.006469 4:0.3070744 5:1.1105354 6:0.114431374 7:1.1035937 8:-0.8226938 9:1.8352112 10:-2.8307748 11:0.54669404 12:-1.557348 13:2.4781837 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:270.3197 2:-9.854156 3:7.213914 4:1.2717116 5:0.5594767 6:-0.6018787 7:0.56276596 8:-1.657679 9:0.6807253 10:-0.80290216 11:2.1145248 12:-3.2584538 13:1.7144314 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.00525 2:-8.768402 3:7.1150546 4:0.75716156 5:1.2856793 6:0.23123646 7:1.4877571 8:-1.6141745 9:1.4155885 10:-1.2715541 11:2.0035176 12:-2.1415987 13:2.0991235 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:275.4024 2:-8.10171 3:7.8662634 4:1.8612057 5:1.8738072 6:-0.20192757 7:1.3058327 8:-1.075876 9:2.392789 10:-0.53742903 11:2.2797074 12:-2.4513054 13:1.7484769 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.78305 2:-8.5427065 3:7.5651164 4:1.2789658 5:1.401126 6:0.18927568 7:0.9181204 8:-1.1227883 9:2.226553 10:-1.3782984 11:2.9162595 12:-1.2448128 13:2.0957 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.88348 2:-8.477752 3:6.972291 4:-0.1781654 5:1.4260778 6:0.376422 7:1.1425699 8:-1.0760479 9:1.5021005 10:-1.4547402 11:2.5615065 12:-1.7106743 13:1.4020746 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:272.74994 2:-9.291945 3:6.1497498 4:0.1538526 5:1.7399746 6:0.91754025 7:1.2534776 8:-1.5287522 9:1.893344 10:-1.4253962 11:2.266167 12:-1.781926 13:2.736799 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:270.78833 2:-10.475174 3:6.396636 4:0.7251754 5:1.5116174 6:0.6263094 7:0.69124854 8:-1.9217329 9:1.355346 10:-1.2187194 11:2.1083448 12:-1.0411657 13:2.2575624 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.3189 2:-9.897488 3:6.4693565 4:0.535429 5:1.6366664 6:0.14253321 7:0.833579 8:-2.1108491 9:1.4628401 10:-0.965788 11:1.1613227 12:-2.4903095 13:1.585495 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:277.734 2:-7.8999567 3:5.8317003 4:0.3091805 5:3.2580435 6:0.6992463 7:0.3845494 8:-1.6570209 9:3.1511402 10:-0.47907832 11:1.9301779 12:-1.1684622 13:3.1813102 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:288.3745 2:-3.991161 3:2.1280134 4:-3.2303457 5:3.383433 6:-1.604523 7:-4.1615276 8:-5.6054482 9:1.8825957 10:-1.6210924 11:2.1010697 12:-1.9802239 13:3.6909337 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:280.5812 2:-5.6542025 3:6.105745 4:0.91782045 5:5.0455527 6:1.120258 7:0.63947535 8:-0.6032879 9:3.9713764 10:-1.0410848 11:1.6746948 12:-2.150479 13:3.4085171 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:310.69742 2:9.161571 3:9.564967 4:-4.810195 5:6.636105 6:3.4824953 7:2.1209013 8:-2.722375 9:3.8362048 10:-0.22395638 11:5.7818975 12:-2.6415386 13:5.3550305 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:316.87527 2:13.774339 3:11.271891 4:-5.18229 5:5.924757 6:1.6316837 7:2.7262883 8:-3.801907 9:5.4243956 10:-1.4564902 11:4.8516545 12:-2.6936085 13:6.017546 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:340.44775 2:13.09458 3:10.0605135 4:-6.305162 5:4.0692973 6:2.262912 7:5.1428833 8:-4.3826923 9:3.9352374 10:-2.962769 11:5.3634224 12:-2.8432202 13:4.304744 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:349.78485 2:23.05285 3:9.299333 4:-8.681249 5:3.9997022 6:1.2898918 7:2.7904665 8:-8.354526 9:6.9448414 10:-4.7117147 11:3.1714232 12:-4.633049 13:3.5515592 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:354.78937 2:22.269257 3:7.0875487 4:-8.467374 5:-1.0928559 6:3.4142058 7:4.4871664 8:-9.984638 9:9.943018 10:-6.4154243 11:1.7667732 12:-5.435462 13:2.215561 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:355.84583 2:20.190937 3:6.9049716 4:-7.600244 5:-1.8074251 6:6.9101706 7:8.35005 8:-9.045849 9:9.443558 10:-8.523076 11:0.26635483 12:-7.365747 13:2.8856304 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:353.6427 2:19.31032 3:7.3688226 4:-7.9781938 5:0.39385545 6:8.534264 7:9.080465 8:-6.572959 9:7.4074464 10:-9.497182 11:0.525744 12:-6.941925 13:3.7095113 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:345.73978 2:20.685593 3:10.166206 4:-9.792625 5:-0.2913116 6:9.4415045 7:10.788919 8:-5.394525 9:7.8040786 10:-8.559947 11:2.0218215 12:-8.446909 13:3.0913067 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:325.89246 2:15.4823 3:12.629507 4:-6.8872676 5:0.46524894 6:4.9503407 7:9.015214 8:-2.043973 9:7.9105363 10:-3.6569533 11:1.9386424 12:-6.4341283 13:3.558813 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
