1 1:246.50905 2:-9.031299 3:5.0415645 4:0.3181672 5:0.9127847 6:-0.3508547 7:1.0571444 8:0.51521325 9:3.5410454 10:-0.9355287 11:2.6433024 12:-0.5342139 13:3.1327853 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:246.47621 2:-6.801839 3:8.665411 4:1.9108273 5:0.3630634 6:-1.3837819 7:1.0717078 8:0.40472052 9:2.0371878 10:-3.0843625 11:1.4760417 12:-0.42161405 13:3.708237 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:246.20372 2:-7.705852 3:8.099757 4:2.1886303 5:1.6984011 6:-1.2369559 7:1.0642799 8:-0.3111823 9:1.3676322 10:-3.0581877 11:0.028589116 12:-3.1458473 13:1.1569898 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:248.14705 2:-7.2804213 3:8.364073 4:2.4753501 5:2.222363 6:1.3315818 7:3.6888492 8:-1.4497865 9:1.0478303 10:-2.4110022 11:0.0034075167 12:-2.6323185 13:2.0891557 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:247.10797 2:-8.892197 3:6.569339 4:1.7665443 5:1.4571795 6:1.117512 7:3.0768385 8:-0.4539868 9:3.4191244 10:-1.5219901 11:1.5334784 12:-0.6468148 13:4.236671 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:249.08635 2:-8.153248 3:6.9155297 4:1.314295 5:0.73137206 6:1.0183234 7:3.4184124 8:-1.7683898 9:1.1736951 10:-1.0456634 11:1.4557263 12:-2.8810806 13:2.6509233 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:245.87009 2:-8.169095 3:7.7365446 4:2.2094977 5:1.0740356 6:-0.71320575 7:1.3994801 8:-3.0843315 9:0.5439526 10:-1.7580022 11:2.3099267 12:-1.7471945 13:2.8463624 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:245.58235 2:-9.451544 3:5.832889 4:0.85428756 5:0.6317244 6:-0.8365907 7:0.33814687 8:-2.4763837 9:1.5576345 10:-1.29776 11:3.5132813 12:-0.47642344 13:2.2290325 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:246.79057 2:-8.403367 3:5.557616 4:-0.3079926 5:0.44581145 6:0.5156518 7:1.7109325 8:-1.7690337 9:0.23816456 10:-2.256777 11:1.5459112 12:-1.675497 13:3.4170513 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:244.2057 2:-9.405248 3:6.595608 4:-0.5442659 5:-0.04191907 6:0.48008695 7:3.148369 8:0.9917427 9:1.7919141 10:-1.3587185 11:2.7979076 12:-1.0649008 13:4.508037 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:245.06996 2:-9.895256 3:6.4197474 4:1.0903416 5:1.2443273 6:1.2760247 7:2.5564017 8:0.237852 9:3.379936 10:-0.9456668 11:3.287481 12:-0.99245995 13:2.977595 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
