1 1:242.6886 2:-8.530127 3:7.0458264 4:0.17967765 5:0.64404434 6:-1.1572515 7:0.011766876 8:-2.0999465 9:0.5407855 10:-3.0916827 11:0.45075256 12:-1.6342334 13:3.4298234 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:244.6225 2:-7.825788 3:7.214395 4:1.7671756 5:0.67837363 6:-0.3624321 7:1.3646504 8:-1.4672142 9:0.069578394 10:-3.4720483 11:1.7778388 12:-2.0791936 13:3.3805459 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.93996 2:-12.654047 3:3.9245846 4:0.84062994 5:-0.8577206 6:-2.8593867 7:-0.15216087 8:-0.27548307 9:3.5509703 10:1.4184314 11:3.1800315 12:-2.493075 13:3.6027424 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:240.5718 2:-10.002444 3:4.953581 4:0.26707518 5:2.245749 6:0.7350922 7:2.867473 8:1.1798832 9:2.2902505 10:-0.62296385 11:3.8581061 12:-0.5633117 13:2.9835274 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:241.14197 2:-9.631145 3:5.664502 4:-0.8854945 5:-0.09727705 6:0.009151108 7:0.5526832 8:-2.7462296 9:0.7130226 10:-1.5803276 11:2.810742 12:-0.91050416 13:3.2721603 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:244.5534 2:-7.398911 3:6.6543527 4:2.5601895 5:2.62914 6:1.6513817 7:1.5225797 8:-1.4424477 9:3.0443895 10:-1.334139 11:0.786809 12:-2.4567168 13:2.996516 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.1289 2:-8.47644 3:5.6869397 4:-0.77208084 5:1.1029415 6:0.8519368 7:2.0853775 8:0.6108648 9:1.8274264 10:-3.0852108 11:1.0558032 12:-1.9793458 13:2.0110266 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:244.33295 2:-7.917552 3:7.2096176 4:0.34381548 5:1.0974464 6:-0.7979009 7:1.695722 8:-0.762442 9:1.8684506 10:-2.0259893 11:1.3363394 12:-2.1409273 13:1.2935052 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:242.73152 2:-9.034055 3:6.972878 4:0.08772448 5:1.5257611 6:-0.28476986 7:1.5214472 8:-0.6833423 9:1.5177512 10:-1.3041933 11:0.57620883 12:-1.884827 13:2.5717819 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:242.5128 2:-10.326134 3:6.671188 4:0.96283865 5:0.34018216 6:0.13876659 7:2.458604 8:-0.7744861 9:0.2808893 10:-2.6739554 11:0.07425955 12:-1.9531081 13:3.1500645 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
