1 1:251.58926 2:-4.5038824 3:7.6056156 4:0.2105296 5:1.1085074 6:-0.42665207 7:1.3842547 8:-1.1001035 9:2.123161 10:-2.9657638 11:1.6325938 12:-1.8894418 13:2.7313838 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:249.14366 2:-5.6081414 3:7.229079 4:0.6955867 5:2.2706525 6:1.5820794 7:2.127915 8:-1.5232222 9:2.2806537 10:-1.9028159 11:0.97829604 12:-3.3650572 13:2.7760713 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:248.46837 2:-6.3589115 3:8.16071 4:1.556483 5:1.0457308 6:-1.4266526 7:1.7111459 8:0.7507499 9:1.1614381 10:-2.7502398 11:1.5173787 12:-2.1675127 13:2.099266 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:246.02571 2:-7.3448715 3:8.2068615 4:0.8799041 5:0.6710027 6:1.4290808 7:0.71938896 8:-2.419627 9:3.1051345 10:-0.9407393 11:1.801123 12:-2.1866312 13:3.1617365 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:246.0747 2:-7.4525123 3:6.593484 4:-2.8542848 5:-1.0677404 6:0.77558064 7:1.5330462 8:-1.8574854 9:1.7566735 10:-2.4425933 11:-0.22945236 12:-3.416306 13:1.768727 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:244.65715 2:-9.125183 3:5.1490927 4:-0.9660038 5:0.76446795 6:-0.13729572 7:0.71188927 8:-0.37603024 9:2.6172686 10:-0.77577806 11:1.9356307 12:-1.3555051 13:2.416411 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:246.11327 2:-7.787882 3:6.2765136 4:-0.928283 5:0.44264013 6:-1.0547175 7:-0.41083214 8:-0.83660364 9:2.2212276 10:-2.27569 11:2.3997114 12:-1.4592673 13:3.4123945 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:245.62712 2:-7.4967847 3:6.291384 4:-0.054636303 5:0.36047965 6:0.27622136 7:1.9208125 8:-1.4451823 9:1.5703033 10:-1.2918017 11:2.1719446 12:-1.5793121 13:3.3982704 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:246.85234 2:-6.926031 3:7.327331 4:0.30959573 5:1.8988633 6:0.4963802 7:2.6049426 8:-0.17752995 9:2.8688107 10:-1.2586112 11:0.6961015 12:-2.8936176 13:2.413275 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:244.63594 2:-7.4679246 3:8.1768875 4:0.079291694 5:1.2555939 6:-1.3197143 7:-0.014738051 8:-0.9660969 9:1.282207 10:-3.4428844 11:-0.13774467 12:-1.8102453 13:1.1020912 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:244.01378 2:-8.020495 3:6.9759684 4:1.1495593 5:1.8834708 6:-0.05759313 7:-0.057852995 8:-1.7691436 9:2.6804898 10:-0.49009252 11:2.6023862 12:-1.0215925 13:2.939044 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:245.57376 2:-8.327496 3:7.9707694 4:1.4640695 5:0.8651765 6:0.4226643 7:1.0929601 8:-0.8639502 9:2.26737 10:-0.4857785 11:3.1799397 12:-1.947505 13:2.8906338 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:243.7025 2:-7.6165705 3:6.7574935 4:2.08441E-4 5:1.7947899 6:0.39008415 7:1.1526041 8:0.18680637 9:1.9452361 10:-1.369404 11:3.1290207 12:-1.5815887 13:2.2661252 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:245.6978 2:-8.176266 3:5.942506 4:-0.08745899 5:1.9419813 6:0.63065207 7:1.7230186 8:-0.8840012 9:1.5011756 10:-2.079301 11:1.5419775 12:-1.6328282 13:2.9480689 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:248.47987 2:-5.8610406 3:6.2971 4:-0.036244262 5:1.672884 6:0.1871631 7:1.250258 8:-0.7285304 9:1.729362 10:-2.2955842 11:1.8492912 12:-1.3717849 13:2.8734636 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:245.42332 2:-7.11583 3:7.6193175 4:0.06605176 5:-0.0738782 6:0.09071769 7:1.5128076 8:-0.371811 9:1.2474943 10:-3.26346 11:1.2568302 12:-2.1228108 13:2.2664587 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:243.19121 2:-9.08933 3:5.6514688 4:-0.8005828 5:-0.21519664 6:-0.55709004 7:0.76735014 8:-0.7972398 9:1.8622816 10:-1.5473078 11:1.9685538 12:-1.6416249 13:3.187674 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:245.6539 2:-7.5848494 3:5.895292 4:0.1280523 5:1.4813604 6:-0.7684632 7:0.8254444 8:-0.87914944 9:2.299873 10:-2.4248135 11:1.1137956 12:-2.387068 13:2.8049285 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:241.00424 2:-10.1796465 3:4.955913 4:-1.0159708 5:1.1665711 6:0.81698036 7:1.8663048 8:-0.3068119 9:2.136714 10:-2.7557697 11:1.2778956 12:-2.4898407 13:0.8632504 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:244.14267 2:-10.116542 3:6.5641146 4:0.85883594 5:1.9402975 6:1.9790077 7:2.835336 8:0.9024953 9:3.1582992 10:-0.71289533 11:3.4207723 12:-1.3237659 13:0.9992638 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:246.98296 2:-9.090221 3:4.9670234 4:0.48746774 5:2.7360616 6:-0.22987996 7:0.70974743 8:-1.0234997 9:2.560114 10:-0.42409077 11:2.9800317 12:-1.4766533 13:2.6956534 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:247.6502 2:-7.3918962 3:7.0431724 4:0.47667885 5:1.4729012 6:-0.35650894 7:-0.3645355 8:-1.025594 9:1.8141505 10:-2.44328 11:0.70490927 12:-3.0323493 13:1.8428739 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
