1 1:273.768 2:-7.6744733 3:9.289811 4:1.3569682 5:0.2647963 6:-0.39865237 7:1.6480776 8:-1.1254818 9:2.181344 10:-0.5313686 11:3.4047453 12:-1.6949086 13:2.115281 14:273.768 15:-7.6744733 16:9.289811 17:1.3569682 18:0.2647963 19:-0.39865237 20:1.6480776 21:-1.1254818 22:2.181344 23:-0.5313686 24:3.4047453 25:-1.6949086 26:2.115281 
1 1:277.05392 2:-8.137945 3:7.5235987 4:0.91133523 5:0.8249862 6:0.17128503 7:0.48798552 8:-1.4055206 9:2.9112656 10:-0.024070391 11:3.6669478 12:-1.6687826 13:2.8491762 14:277.05392 15:-8.137945 16:7.5235987 17:0.91133523 18:0.8249862 19:0.17128503 20:0.48798552 21:-1.4055206 22:2.9112656 23:-0.024070391 24:3.6669478 25:-1.6687826 26:2.8491762 
1 1:278.15216 2:-10.516137 3:6.4531713 4:1.2679394 5:-0.20262922 6:0.69302565 7:3.1233783 8:0.32998988 9:5.530331 10:-0.62555933 11:2.3380628 12:-1.9143486 13:1.8603961 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
1 1:277.31845 2:-8.126695 3:7.9552073 4:2.2555182 5:1.9088491 6:0.65542567 7:2.464425 8:-0.3271604 9:2.0569985 10:-0.8841801 11:2.5859847 12:-1.9193722 13:3.2689123 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
1 1:276.65994 2:-7.1100035 3:10.595231 4:1.5545907 5:0.9216749 6:-0.123245634 7:1.7986712 8:-1.3644547 9:2.0172236 10:-1.1454339 11:2.1400263 12:-1.8171748 13:1.4616814 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
1 1:276.07394 2:-7.692079 3:8.584563 4:0.9234335 5:1.1892873 6:0.22262242 7:1.3316088 8:-0.8636548 9:2.4748397 10:-0.5885904 11:2.3890367 12:-1.6247485 13:1.7866423 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
1 1:277.90945 2:-7.976879 3:7.379534 4:1.3744549 5:1.6127316 6:1.0605552 7:3.6516113 8:0.33151022 9:4.5107017 10:0.07431088 11:1.8755888 12:-2.6254594 13:1.6608361 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
1 1:277.57275 2:-7.0043454 3:10.757415 4:3.3390858 5:3.0302596 6:0.87452835 7:2.8846314 8:0.5877895 9:4.5026426 10:0.11821797 11:4.2637157 12:-0.96262646 13:2.7887251 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
1 1:277.96304 2:-7.818644 3:8.565908 4:1.5428214 5:0.3124217 6:-0.17766085 7:2.829082 8:0.021363243 9:3.915151 10:-1.0503039 11:1.8070906 12:-0.7820099 13:3.8159516 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
1 1:277.86435 2:-7.0534053 3:9.60218 4:2.757752 5:2.3502226 6:0.9931791 7:3.4992883 8:-0.22561383 9:2.4656363 10:-1.1228153 11:1.9670696 12:-1.954802 13:2.1444836 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
1 1:278.7231 2:-7.1512 3:8.718567 4:2.1404784 5:1.818666 6:0.4525157 7:2.5308414 8:-0.96021694 9:1.9901317 10:-1.8789879 11:1.9635705 12:-2.2456436 13:2.4075634 14:104.87353 15:7.3509192 16:3.9012551 17:-1.2028508 18:1.1162305 19:0.25700366 20:1.8507572 21:-3.570334 22:1.7156724 23:-0.18733147 24:1.1562524 25:-1.8679338 26:1.3257103 
