1 1:274.60623 2:-8.973191 3:7.4813604 4:1.601572 5:0.9626404 6:-1.40725 7:0.5178858 8:-1.6274903 9:1.8679174 10:-1.2457302 11:1.5411155 12:-1.4079393 13:3.2083027 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:273.00458 2:-10.466762 3:5.2582393 4:-0.24653664 5:0.5661318 6:0.0032960249 7:1.1982728 8:-0.870014 9:1.6598052 10:-1.8424573 11:0.90666395 12:-2.2302012 13:1.5491431 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:273.6693 2:-9.682702 3:6.3838916 4:0.23183818 5:0.7060624 6:0.63617134 7:1.911997 8:-0.5827355 9:2.3263056 10:-1.2994897 11:2.1914504 12:-1.6762812 13:1.4751427 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:278.69864 2:-7.215125 3:6.435672 4:0.31518507 5:1.0975271 6:-1.7372048 7:0.8321492 8:-0.24846207 9:3.7894557 10:-1.5197803 11:1.6034526 12:-2.1686385 13:2.973889 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:288.22458 2:-4.75727 3:2.8149788 4:-5.339232 5:-1.6338063 6:-1.1263272 7:5.681305 8:3.183262 9:5.395747 10:-3.627829 11:-2.333259 12:-5.2586484 13:2.6856523 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:305.66833 2:5.753086 3:8.930669 4:-3.3497033 5:3.4094014 6:0.5880311 7:8.071118 8:3.2904298 9:8.755139 10:-1.2277687 11:1.5592229 12:-3.9136138 13:4.0423446 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:335.61847 2:16.51277 3:10.972133 4:-4.5386753 5:7.53117 6:0.5248211 7:6.95492 8:-0.92697257 9:10.651134 10:0.3464647 11:3.7610748 12:-5.418018 13:5.636877 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:346.54605 2:17.938515 3:8.460235 4:-5.3278003 5:7.45884 6:-0.03344005 7:6.426409 8:-2.268644 9:10.496171 10:-0.1853518 11:3.5625262 12:-5.5615387 13:5.702258 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:367.7199 2:27.42021 3:10.09819 4:-3.837367 5:7.0159173 6:-3.3477533 7:4.9998426 8:-9.300217 9:8.199504 10:-1.0385284 11:4.3972692 12:-8.713568 13:3.1977913 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:370.82855 2:26.66421 3:7.3166294 4:-3.0829103 5:3.8422408 6:-5.3066096 7:3.7044404 8:-8.713882 9:8.815269 10:-1.4924362 11:6.980201 12:-11.24844 13:0.0740359 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
