1 1:275.964 2:-7.2794714 3:7.844797 4:0.9149394 5:0.8884627 6:-0.51355404 7:1.2239318 8:-1.4923685 9:0.7184858 10:-1.5661849 11:1.7955502 12:-1.9495685 13:2.9061806 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:274.07977 2:-8.530379 3:7.1119056 4:1.2565829 5:1.299136 6:-0.18928045 7:1.293989 8:-0.6895473 9:2.3378713 10:-0.92168546 11:2.4945245 12:-2.5052516 13:2.0891588 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:274.54285 2:-8.479284 3:6.446348 4:-1.2625858 5:0.3674366 6:-1.2196927 7:1.0884457 8:-0.57871276 9:2.328918 10:-0.16244793 11:2.6650403 12:-1.3983257 13:1.5825565 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:290.0654 2:-4.317755 3:0.5643722 4:-2.1846747 5:8.480603 6:2.9461656 7:-0.49182454 8:-2.6204689 9:4.8866215 10:-0.1534067 11:2.8247585 12:-2.2685049 13:2.6015978 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:298.00775 2:-0.9541315 3:0.7943536 4:0.13056688 5:13.294903 6:5.231614 7:2.4538586 8:-2.0429063 9:5.9700136 10:-0.2867329 11:3.6380038 12:-1.7837662 13:4.4723935 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:277.01917 2:-7.223677 3:8.720025 4:0.8246724 5:2.619473 6:0.8991965 7:2.1450558 8:0.44969058 9:3.746502 10:0.9431976 11:4.276616 12:-1.2898889 13:3.4309714 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:276.06552 2:-7.6910114 3:7.8921256 4:1.5198721 5:2.4737546 6:1.2454797 7:2.4857528 8:-0.19936883 9:3.0263715 10:-0.47695053 11:2.9166548 12:-1.7965239 13:2.5149221 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:274.8411 2:-8.4601345 3:8.076217 4:2.2727644 5:1.3752708 6:-0.23743401 7:1.686411 8:0.13099903 9:3.3886073 10:-0.6433873 11:2.9603622 12:-1.1345899 13:3.1933255 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:271.3266 2:-9.88518 3:7.6524415 4:0.7799685 5:0.45112696 6:-0.35923722 7:1.247433 8:-0.38195708 9:2.5747025 10:-1.0288906 11:2.2631128 12:-0.95718056 13:3.165788 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:275.3621 2:-8.769279 3:5.1415615 4:-1.3410473 5:-0.29238096 6:-1.3449018 7:1.4365264 8:-0.902898 9:2.3222475 10:-0.9355981 11:3.57419 12:-0.92280674 13:1.8278879 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
