1 1:274.56702 2:-8.25994 3:7.610813 4:-0.36198422 5:0.25296387 6:0.47083354 7:2.228001 8:-0.86308557 9:1.2116889 10:-1.6364853 11:1.9366181 12:-2.5840976 13:2.0255527 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:275.7231 2:-7.1916604 3:7.924495 4:0.71755046 5:0.83097136 6:-0.50187916 7:1.6055392 8:-1.0420159 9:2.1122892 10:-1.0278317 11:1.7787011 12:-2.4381595 13:2.4291706 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:274.94614 2:-7.9879603 3:7.171839 4:0.5342705 5:0.82803476 6:0.015994528 7:1.9937751 8:-1.0651157 9:1.6764657 10:-1.9611757 11:1.6510761 12:-2.4348247 13:1.306003 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:271.92862 2:-10.184359 3:7.810779 4:1.4472399 5:0.5775916 6:-1.2745613 7:0.041955408 8:-1.4468637 9:0.90569043 10:-1.8596568 11:1.8297875 12:-1.6791573 13:3.41124 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:273.32663 2:-8.515531 3:7.583832 4:1.0834334 5:1.2494389 6:-1.6666034 7:0.19154705 8:-1.4185361 9:1.7418414 10:-1.4548854 11:1.6454941 12:-1.7960228 13:2.8625028 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:273.4116 2:-8.810687 3:7.5217924 4:0.61722124 5:1.6458482 6:0.23983893 7:2.0906618 8:-0.043916143 9:2.6964512 10:-0.73297733 11:2.7954276 12:-2.532667 13:1.9221545 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:275.74875 2:-7.2467804 3:7.5794992 4:0.96692115 5:0.9975252 6:-0.14857921 7:1.1697545 8:-1.7386224 9:1.33666 10:-1.5526917 11:2.8473966 12:-2.520999 13:1.5601234 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:273.5124 2:-9.071601 3:6.5494833 4:0.6071072 5:0.07958325 6:-1.2755529 7:1.1915076 8:-0.35857758 9:3.295851 10:-0.23393938 11:2.3814163 12:-1.1726204 13:2.807057 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:275.5327 2:-8.078371 3:7.814739 4:-0.11632363 5:0.87637365 6:-0.35485795 7:-0.7602827 8:-1.2341485 9:1.4916656 10:-1.4601264 11:1.3563576 12:-2.1337705 13:2.8485465 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:274.60196 2:-8.082703 3:7.7628775 4:-1.1304916 5:-0.22948076 6:-0.28192154 7:0.9947455 8:-1.8899696 9:0.74302137 10:-1.4396391 11:1.9578556 12:-2.1809049 13:2.1793458 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
