1 1:272.47736 2:-9.057689 3:7.734958 4:1.4591453 5:0.4172137 6:-0.22336279 7:2.4645174 8:-0.93705404 9:1.0202762 10:-1.098915 11:1.650206 12:-2.316814 13:1.7690188 14:272.47736 15:-9.057689 16:7.734958 17:1.4591453 18:0.4172137 19:-0.22336279 20:2.4645174 21:-0.93705404 22:1.0202762 23:-1.098915 24:1.650206 25:-2.316814 26:1.7690188 
1 1:276.78806 2:-9.335713 3:7.503129 4:1.1961879 5:-0.23956214 6:-0.63958335 7:2.3003612 8:-0.68968105 9:1.13226 10:-1.5959322 11:1.7855868 12:-1.294451 13:3.7698245 14:276.78806 15:-9.335713 16:7.503129 17:1.1961879 18:-0.23956214 19:-0.63958335 20:2.3003612 21:-0.68968105 22:1.13226 23:-1.5959322 24:1.7855868 25:-1.294451 26:3.7698245 
1 1:277.92926 2:-8.444253 3:7.9786267 4:1.325704 5:-0.34768707 6:-1.8148214 7:1.3018378 8:-0.7892557 9:2.133186 10:-1.5745996 11:2.518025 12:-1.2353407 13:2.3270664 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:276.9906 2:-8.974424 3:6.541655 4:-0.48234257 5:-1.6746007 6:-0.9399653 7:2.631146 8:0.60708964 9:2.9268992 10:-0.4966373 11:3.4571726 12:-0.43581575 13:1.9949076 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:276.10495 2:-8.737682 3:6.387093 4:0.36360654 5:-1.6160504 6:-2.8899472 7:-0.15677793 8:-2.4169424 9:1.9674175 10:-2.168203 11:2.0977273 12:-1.9758546 13:1.7334551 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:277.06302 2:-7.5060105 3:7.9694343 4:1.0128667 5:0.13949901 6:-0.97505003 7:1.3498054 8:-0.38838527 9:1.9478616 10:-1.8651109 11:2.9243655 12:-1.6187637 13:1.5731052 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:276.139 2:-7.5796404 3:7.7881837 4:0.51750404 5:0.78130966 6:-0.8436298 7:1.4414923 8:-1.1534364 9:2.2351344 10:-1.4298767 11:1.6289111 12:-1.4614695 13:2.1554594 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:275.17398 2:-9.170986 3:7.139259 4:0.7662878 5:0.06605375 6:-1.1866066 7:1.3245319 8:-0.40840688 9:3.0601249 10:-0.8296443 11:1.6407105 12:-2.1654854 13:3.725954 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:272.54758 2:-10.067305 3:6.394011 4:1.3010085 5:-0.054495387 6:-0.40424353 7:1.9501002 8:-0.17592484 9:3.5798934 10:-0.20847666 11:2.5380485 12:-1.6228753 13:2.5320518 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:273.69208 2:-9.662054 3:6.9471536 4:1.3839668 5:1.6821458 6:0.85345775 7:2.0498295 8:0.33527246 9:3.8160932 10:-0.6673035 11:1.9627002 12:-1.7281728 13:2.168143 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
1 1:271.79117 2:-8.665571 3:7.0439124 4:1.0805671 5:0.6108792 6:0.08695745 7:1.8580905 8:-0.52470464 9:1.0586444 10:-2.5531158 11:1.8944427 12:-1.2119838 13:2.3106358 14:98.8195 15:4.820746 16:4.7660494 17:-0.2947102 18:0.51484996 19:0.06071659 20:1.8573219 21:-2.016676 22:1.695942 23:-0.4646933 24:0.969252 25:-1.5140532 26:0.5765698 
