1 1:279.63348 2:-9.518496 3:4.3700056 4:1.3691782 5:2.2477436 6:-2.1579168 7:-0.66521674 8:-0.95881635 9:4.268419 10:-0.4347254 11:1.7616946 12:-1.5365918 13:2.9986305 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:281.7449 2:-7.7886963 3:3.6088555 4:0.42516235 5:2.9783242 6:0.34222406 7:1.7154605 8:0.4049443 9:4.874351 10:-0.5751107 11:1.0914677 12:-2.6016297 13:2.9365358 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:303.54364 2:-1.7816423 3:-6.7106457 4:-13.085357 5:2.1193378 6:3.129213 7:6.72412 8:0.75790364 9:4.8863816 10:-4.5087967 11:-0.19654337 12:-3.4504075 13:5.6040244 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:308.60556 2:-0.09978848 3:-7.382501 4:-13.57241 5:2.598187 6:3.3435187 7:7.917734 8:0.46570942 9:6.698831 10:-3.6765656 11:0.6462816 12:-2.1164827 13:5.6367917 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:298.69293 2:-0.50020206 3:6.832585 4:-0.34045294 5:1.4224854 6:1.7878603 7:8.270522 8:3.0563507 9:8.118113 10:-1.515678 11:1.0028453 12:-2.9229085 13:3.9464715 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:325.97818 2:13.737151 3:11.195173 4:-3.8513322 5:5.0026765 6:2.3163347 7:10.151693 8:1.468058 9:10.957168 10:-1.5977648 11:3.423596 12:-5.212504 13:5.0920935 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:332.86697 2:15.660601 3:8.853402 4:-4.1944976 5:6.5466413 6:1.450975 7:10.190335 8:0.28735518 9:9.412108 10:-1.6215305 11:3.780611 12:-5.0720673 13:4.6369095 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:336.2966 2:16.569656 3:9.063313 4:-2.9190984 5:6.067848 6:1.946709 7:8.699599 8:-1.5778999 9:9.612136 10:-1.6851842 11:3.095362 12:-3.9802628 13:5.3494997 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:360.52014 2:19.952507 3:13.328928 4:0.4910774 5:4.739666 6:1.1871873 7:3.9413924 8:-8.916749 9:7.7001605 10:-3.5218818 11:4.081366 12:-5.0719156 13:4.217659 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:365.24872 2:21.788746 3:11.463333 4:2.5246782 5:4.2594724 6:-4.891823 7:1.5789539 8:-9.35991 9:9.236914 10:-2.8440804 11:5.63594 12:-6.619387 13:0.9394118 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:366.68643 2:24.308867 3:9.6566725 4:-2.3852508 5:3.8476717 6:-4.3564167 7:3.2697303 8:-8.328053 9:9.275126 10:-2.7758703 11:6.0629835 12:-8.34206 13:-1.3687118 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:369.70074 2:23.368303 3:7.7924027 4:-5.218125 5:2.9709766 6:-1.3599668 7:7.1089654 8:-7.0103593 9:8.410054 10:-2.2903633 11:3.6421926 12:-10.202994 13:-2.0813358 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:366.79565 2:19.73295 3:7.1024394 4:-4.6400094 5:3.3720577 6:3.4951384 7:9.217558 8:-7.6084423 9:9.0154 10:-3.675114 11:2.8188035 12:-8.736829 13:-0.17233029 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:363.71194 2:17.858486 3:6.062315 4:-3.0322478 5:5.0777783 6:7.7011447 7:10.638942 8:-7.6684003 9:6.3194876 10:-3.34549 11:4.9941473 12:-7.603313 13:1.6478672 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
