1 1:273.7085 2:-8.78277 3:7.0920467 4:-0.39311212 5:0.36909324 6:-0.4325427 7:0.9096294 8:-1.5450581 9:1.7469294 10:-0.9026062 11:2.2469401 12:-1.3765595 13:2.4132173 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:273.55447 2:-9.208122 3:6.9009304 4:0.099675804 5:1.1689419 6:-0.028787766 7:1.3032014 8:-0.5309871 9:3.4713666 10:0.49005818 11:3.1192856 12:-2.456577 13:2.065437 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:271.62442 2:-9.120447 3:6.521175 4:-0.7173225 5:0.73025817 6:-0.0017962849 7:1.5373763 8:-0.47490016 9:1.320051 10:-1.0462716 11:2.604008 12:-2.7992425 13:2.077875 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:274.94644 2:-9.880715 3:5.9456263 4:0.020861994 5:0.21970199 6:-0.57507503 7:2.2387505 8:-0.18227708 9:2.416927 10:-0.8490171 11:1.4562149 12:-1.8373027 13:3.078305 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:273.5612 2:-8.740427 3:7.0329638 4:1.0710658 5:2.1427634 6:0.87505364 7:1.8117497 8:-0.70194745 9:2.0202534 10:-1.8096782 11:0.8673065 12:-2.5983799 13:1.2298541 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:275.26328 2:-7.989394 3:7.773021 4:1.7880801 5:1.718415 6:-0.52047014 7:1.5970242 8:-0.08130259 9:2.9053054 10:-0.6907408 11:2.7053134 12:-1.9012898 13:2.9640164 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:273.82816 2:-8.281133 3:6.7939315 4:1.6364918 5:1.1871874 6:-0.61156577 7:1.6079253 8:-1.6606041 9:2.120811 10:-1.548911 11:1.4653131 12:-2.4079552 13:1.8261565 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:275.58795 2:-6.8395767 3:7.4805818 4:0.8233638 5:1.7519327 6:0.3395384 7:1.9344964 8:0.0794397 9:3.099577 10:-1.3023432 11:2.0357816 12:-3.2229648 13:2.8932703 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:283.9098 2:-4.285472 3:6.441055 4:-2.278846 5:-0.707148 6:-0.54510915 7:3.8065758 8:1.7844405 9:4.809019 10:-1.8926262 11:0.34903243 12:-4.077774 13:2.9257166 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:293.56067 2:-0.70919853 3:6.977244 4:-1.1191355 5:0.87439257 6:-0.5845929 7:4.6422744 8:0.07773303 9:4.6341095 10:-2.1187572 11:1.6352841 12:-3.2694225 13:2.7600775 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
