1 1:235.54422 2:1.8186891 3:6.9167757 4:4.869057 5:3.6408048 6:-2.4712286 7:0.7051518 8:-1.3898234 9:3.5535707 10:-2.5551207 11:3.9756453 12:-2.28026 13:4.4610996 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:238.61896 2:0.95159495 3:6.0578575 4:3.434148 5:2.405268 6:-0.5054289 7:2.095627 8:-2.7352087 9:2.5068643 10:-2.8665533 11:3.5280235 12:-2.3221855 13:4.250104 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:235.6113 2:-0.83210945 3:3.6885178 4:2.4749491 5:2.137431 6:-1.1175269 7:2.448931 8:-1.0982275 9:4.254568 10:-1.9079726 11:4.040689 12:-1.1966183 13:4.7492495 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:238.94298 2:0.746116 3:3.3923392 4:2.4748533 5:1.3240467 6:-4.23957 7:0.65270007 8:-2.6708677 9:1.9280845 10:-3.1342583 11:3.8008802 12:-2.8022501 13:3.2595925 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:241.6734 2:1.3720392 3:5.4280496 4:4.084397 5:3.688909 6:-1.1270114 7:1.4319692 8:-2.1460996 9:3.2339158 10:-3.7241702 11:3.394029 12:-4.5812764 13:2.853583 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:240.18655 2:0.9933825 3:5.6175895 4:4.356888 5:1.9601727 6:-1.1459432 7:1.9679965 8:-3.0323038 9:2.4144425 10:-3.3082037 11:4.276884 12:-1.8972435 13:3.218483 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:239.44849 2:1.7198356 3:5.9852443 4:3.5507755 5:1.2209321 6:-2.4709814 7:1.5277053 8:-3.7740774 9:0.9466685 10:-3.1137798 11:2.817773 12:-3.1794724 13:2.8560505 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:237.91739 2:-0.26366928 3:3.8002503 4:2.5145648 5:3.1261332 6:-0.9313771 7:1.1745766 8:-3.139024 9:1.7013415 10:-2.9348834 11:3.7389445 12:-2.6850834 13:4.4134874 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:239.47507 2:0.36588514 3:4.854134 4:4.3159647 5:3.1561835 6:-1.7585069 7:1.4007798 8:-3.853814 9:1.8868603 10:-2.8541338 11:4.5882735 12:-2.0815012 13:5.240314 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:240.95253 2:1.288104 3:4.798846 4:3.9794996 5:2.9632518 6:-0.3734232 7:2.7675846 8:-3.2084088 9:3.4222033 10:-2.8512208 11:3.6489494 12:-1.9538215 13:4.9558706 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:237.52725 2:-1.2941256 3:2.8968585 4:3.0445423 5:0.5716494 6:-5.046592 7:1.2406069 8:-0.6309009 9:4.797459 10:-1.4483038 11:3.710701 12:-2.6287382 13:4.18369 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:237.93932 2:0.88101715 3:4.829395 4:5.077363 5:4.820879 6:-0.8399988 7:2.7862184 8:-2.2621248 9:2.5692508 10:-2.4810998 11:3.6188452 12:-3.6851385 13:4.3703475 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:244.10895 2:1.2050583 3:3.3216639 4:2.247534 5:2.689193 6:-1.4118407 7:2.0980675 8:-2.8031485 9:2.2043145 10:-2.849072 11:3.736297 12:-3.1730106 13:4.1311216 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:243.16855 2:0.5789828 3:1.8256353 4:2.010123 5:2.9392786 6:-1.082003 7:0.25782827 8:-3.398691 9:2.7580087 10:-3.1954267 11:4.0635753 12:-3.1731043 13:5.0437436 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:243.59544 2:-0.6415343 3:1.8780574 4:2.852281 5:3.0034597 6:-0.42634696 7:1.6229957 8:-3.2500348 9:2.084037 10:-3.9517722 11:4.5562196 12:-3.0784407 13:3.7513611 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:244.24367 2:-0.5987762 3:1.7316065 4:1.8595238 5:1.9480543 6:-0.44254822 7:2.8040502 8:-1.7423046 9:3.403671 10:-2.9139915 11:4.78795 12:-3.3178484 13:4.10262 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:240.16823 2:-0.96445924 3:1.1978518 4:3.23679 5:1.758122 6:-1.5079337 7:2.4079301 8:-1.9053113 9:4.0077333 10:-1.439843 11:5.112908 12:-2.3561234 13:4.2014894 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
