1 1:231.22813 2:-1.3849776 3:8.012326 4:3.5688045 5:1.2929046 6:0.48091897 7:2.5575285 8:-2.8464892 9:4.2048454 10:-1.4181904 11:2.9377182 12:-1.1530137 13:2.5583413 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:234.8576 2:2.5747256 3:11.012073 4:4.5792074 5:2.2227 6:0.038779553 7:4.5067735 8:-2.038527 9:3.8128786 10:-2.3109097 11:1.9993665 12:-2.97927 13:3.7391663 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:231.89395 2:0.018489229 3:8.937694 4:3.429502 5:0.21335247 6:-2.2998652 7:1.6448146 8:-3.2052617 9:2.6282606 10:-1.448847 11:2.9956706 12:-3.3263826 13:1.8022101 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:230.19955 2:-0.3649878 3:7.7783694 4:3.291742 5:1.415414 6:-0.8708468 7:1.6541529 8:-4.446211 9:0.78532904 10:-3.2110596 11:1.6592656 12:-3.1627812 13:3.222985 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:231.23094 2:0.25770432 3:7.6335454 4:3.7594914 5:2.1972778 6:-1.6658418 7:1.0771456 8:-2.8266468 9:1.9944069 10:-3.0412111 11:2.903931 12:-2.3982356 13:4.3602014 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:234.30249 2:2.4787586 3:6.6276226 4:2.3087018 5:1.8621888 6:-1.4103992 7:1.4151964 8:-2.424948 9:2.3098164 10:-3.636937 11:2.8633897 12:-2.328873 13:3.2682471 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:234.2006 2:1.7123567 3:8.876927 4:2.5241463 5:1.7711557 6:-0.59691244 7:2.897232 8:-2.7109823 9:2.585274 10:-2.3700519 11:1.3527738 12:-4.5140247 13:3.1851091 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:234.06488 2:3.6345036 3:10.217985 4:3.9473758 5:1.7982568 6:-1.744498 7:2.9409513 8:-3.5090659 9:2.7874496 10:-1.9188361 11:2.445392 12:-2.9605582 13:4.549413 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:233.54572 2:2.6685174 3:9.188441 4:2.2916007 5:1.0029396 6:-2.4151165 7:2.2340732 8:-1.3495284 9:3.1030903 10:-1.6126461 11:2.680442 12:-2.7906485 13:4.2888255 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:232.91931 2:2.679241 3:9.80635 4:2.846517 5:0.6086438 6:-2.8298044 7:2.6418774 8:-2.465939 9:2.2707705 10:-1.8572402 11:3.3603625 12:-2.5846703 13:3.1494772 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
