1 1:240.94667 2:-10.932753 3:6.2968097 4:-0.7099091 5:-0.35745677 6:0.69145334 7:0.028523665 8:-2.8472183 9:-0.10702694 10:-2.3130858 11:1.893547 12:-1.750082 13:1.043358 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:249.10936 2:-6.0184884 3:7.910635 4:1.8044218 5:1.381028 6:-1.1472489 7:0.66252035 8:-1.268473 9:1.1762878 10:-2.7198246 11:3.1238573 12:-0.52441114 13:3.1424356 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.32631 2:-8.886779 3:7.1084313 4:1.0674284 5:0.4992046 6:-1.2270522 7:-1.3292865 8:-2.5052426 9:2.5232286 10:-0.33500403 11:3.639482 12:-1.0730915 13:2.4845753 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.09433 2:-8.595557 3:5.9246373 4:-0.17385596 5:0.23543231 6:-0.90202045 7:1.5555707 8:-1.1219981 9:1.4649801 10:-1.0960966 11:2.1565552 12:-0.8793297 13:2.5421772 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:244.11446 2:-8.190299 3:6.7071157 4:0.5262009 5:1.7841768 6:-0.5775641 7:2.2229364 8:-0.2509595 9:2.7681024 10:-0.4973644 11:2.5869884 12:-1.417117 13:1.7824153 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.06868 2:-9.564537 3:4.9188356 4:0.39416385 5:0.73368853 6:-0.2268981 7:2.5939891 8:-1.4167857 9:2.4266071 10:0.18964453 11:2.426705 12:-1.8711797 13:1.6240242 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.3894 2:-6.599802 3:6.38591 4:-1.6489905 5:1.0253922 6:0.032222148 7:1.6006837 8:-0.6954927 9:2.779457 10:-0.24712679 11:2.9120376 12:-1.7958918 13:4.009596 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.06764 2:-7.9423494 3:7.0973253 4:0.13862899 5:-0.009344702 6:-0.9943433 7:1.6088037 8:-0.2813669 9:2.2298284 10:-0.30312842 11:2.9385793 12:-1.5700976 13:2.840564 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.26555 2:-9.294509 3:6.5803027 4:0.47227132 5:0.5159435 6:0.64427084 7:0.06901369 8:-1.8874856 9:1.5724672 10:-1.7352172 11:2.3218386 12:-1.0269103 13:2.637729 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.37425 2:-7.96572 3:7.650679 4:0.14705552 5:0.34057757 6:0.37127095 7:0.97760856 8:-1.6686194 9:1.914608 10:-1.3793449 11:1.9240804 12:-2.4126263 13:1.519111 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.25726 2:-8.01675 3:5.997507 4:0.8587005 5:2.1665683 6:-0.06261323 7:0.27193728 8:-1.3883858 9:2.6999662 10:-2.1969268 11:0.37652013 12:-4.4952245 13:0.61814314 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.23636 2:-8.265186 3:6.9031553 4:0.51022667 5:2.3516119 6:2.0745788 7:3.3196251 8:1.7998857 9:3.3173406 10:-1.4985698 11:3.1907096 12:-0.97295123 13:3.3882658 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:244.53185 2:-7.616019 3:7.532151 4:0.64600545 5:0.67775524 6:0.38285023 7:2.244357 8:-1.0506331 9:2.1737053 10:-1.7698721 11:2.1031837 12:-0.59108806 13:3.5913086 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:257.41724 2:-1.4799033 3:7.190833 4:-1.4923131 5:1.7084942 6:-0.66163874 7:3.4254444 8:-3.333616 9:0.23957029 10:-1.2806231 11:2.8954237 12:-2.6530006 13:0.23798783 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:263.09897 2:1.6302555 3:9.582033 4:2.2046766 5:4.3040295 6:1.4185325 7:4.549952 8:-2.8329203 9:1.1103376 10:-2.0280087 11:3.9359 12:-3.3665435 13:0.80800295 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.09131 2:-5.9176645 3:7.8155417 4:1.7298146 5:2.8205562 6:0.64329004 7:2.2420106 8:-1.1704556 9:1.0043216 10:-1.1245134 11:2.0997498 12:-3.5389028 13:1.907396 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.45117 2:-8.557583 3:5.624385 4:1.1619103 5:2.8131084 6:0.008164547 7:2.2053251 8:-0.68294734 9:1.0466152 10:-1.9718217 11:2.1092367 12:-0.7589936 13:3.9814978 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.7935 2:-7.7941265 3:6.176893 4:0.2531226 5:3.39084 6:2.3740957 7:2.8237472 8:-0.3639572 9:1.2683872 10:-2.05987 11:3.014115 12:-1.4501548 13:1.8751352 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.37767 2:-9.685329 3:5.7044134 4:0.11796989 5:1.2835209 6:-0.31547457 7:-0.3521808 8:-2.7996082 9:1.2101803 10:-1.3810339 11:2.0794835 12:-1.801875 13:2.5217657 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.0711 2:-7.726968 3:6.9161835 4:1.9703462 5:2.7678747 6:1.593751 7:2.2276084 8:-0.86567366 9:1.823817 10:-2.3006327 11:1.4532797 12:-3.0962608 13:2.0425308 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.01733 2:-6.0147767 3:7.278204 4:-0.092247985 5:-0.02892026 6:-1.7699285 7:1.0425233 8:1.0150937 9:3.6408656 10:-2.1770728 11:1.1187325 12:-1.7696916 13:1.7535331 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.86188 2:-9.755028 3:5.78059 4:0.012751277 5:1.2834843 6:0.4581673 7:1.4700752 8:-1.0228769 9:1.5834247 10:-1.8830457 11:1.5436184 12:-2.5437932 13:1.461701 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.97548 2:-8.789408 3:6.4056306 4:1.1414295 5:2.508646 6:-0.6274452 7:0.68135595 8:-2.427789 9:0.40648854 10:-2.460574 11:1.908799 12:-1.2813473 13:3.8501284 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:247.14404 2:-8.138876 3:5.944546 4:-1.053268 5:0.6224471 6:-1.684429 7:-1.248584 8:-0.7879822 9:1.2284487 10:-2.7206223 11:1.295827 12:-4.1907187 13:1.3324829 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:247.2006 2:-6.815659 3:7.1228385 4:0.75059146 5:2.748502 6:-0.22971238 7:0.94920766 8:-0.073097445 9:3.0080009 10:-2.2667737 11:1.0844628 12:-3.2024095 13:2.2378674 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.87517 2:-7.114932 3:8.762725 4:0.78652835 5:0.84044915 6:-1.0885477 7:0.8052315 8:-0.8866607 9:2.3805792 10:-2.074125 11:2.0216265 12:0.1429598 13:3.7196598 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:242.76111 2:-8.281772 3:5.6704483 4:0.15450276 5:2.3721514 6:-0.897674 7:1.6566797 8:-1.1468481 9:2.4944136 10:0.4936267 11:2.3003893 12:-0.83934176 13:3.597227 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.07379 2:-8.0797205 3:6.5973253 4:0.99688 5:1.2492129 6:1.0460976 7:3.0826178 8:-0.55215126 9:1.6266339 10:-1.7956655 11:2.1637836 12:-2.092312 13:2.4587474 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.89294 2:-5.1203313 3:10.915989 4:2.7805436 5:1.3777232 6:-1.5171648 7:1.0959983 8:-1.8705643 9:1.4193276 10:-1.8873237 11:1.678085 12:-2.1195307 13:2.4581718 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.00334 2:-9.251973 3:6.218883 4:-0.15146601 5:1.6385883 6:-0.6111555 7:-0.89549893 8:-3.3251216 9:0.059114415 10:-1.9229448 11:2.179416 12:-1.5676986 13:2.368724 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.62746 2:-7.357586 3:7.3613625 4:1.2663819 5:1.825853 6:-0.375867 7:-0.049617596 8:-2.3391383 9:1.3221889 10:-2.2133482 11:1.2455088 12:-1.7633337 13:2.9602242 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:247.90797 2:-6.376276 3:6.751116 4:0.3432126 5:1.9884477 6:0.08119796 7:0.5724302 8:-1.3035252 9:2.5881085 10:0.21212807 11:3.6186032 12:-1.6080993 13:3.1004477 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:244.77306 2:-8.186322 3:5.2784944 4:0.010204528 5:0.39868954 6:-1.931485 7:-0.7707757 8:-1.9767694 9:1.4898635 10:-0.7115039 11:2.9296894 12:-1.3167452 13:2.1432817 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.31493 2:-6.925808 3:7.4406953 4:-0.58955574 5:0.34818536 6:-0.39956126 7:1.481949 8:0.3009896 9:4.0073714 10:-1.3627647 11:1.1930948 12:-2.3353949 13:1.7645292 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.79138 2:-7.3522987 3:6.625669 4:-0.6295585 5:0.5587262 6:-0.65878284 7:1.2120514 8:-0.5666951 9:2.4967656 10:-1.3297122 11:2.440859 12:-0.9553574 13:3.438941 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.5211 2:-7.082379 3:6.9271283 4:1.409477 5:3.4057946 6:0.80502295 7:0.16010733 8:-2.3541696 9:2.0100582 10:-1.872711 11:0.98207307 12:-1.6121924 13:3.8048775 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.62947 2:-8.362265 3:3.7891583 4:-0.30886665 5:3.6191664 6:1.5504167 7:1.9863776 8:0.3935161 9:3.678212 10:-1.5267287 11:0.75178075 12:-2.6406157 13:3.302756 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:250.36998 2:-3.9470036 3:6.9309244 4:0.45812806 5:2.7638137 6:1.5546029 7:2.5032582 8:0.46472752 9:4.512748 10:-0.57686764 11:2.2821052 12:-3.1380188 13:2.2071402 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:251.28418 2:-5.4871583 3:6.407589 4:-0.46105158 5:0.5822436 6:-0.8538373 7:3.4057217 8:1.9365448 9:5.2088184 10:-0.9870196 11:1.4795732 12:-2.2885966 13:3.063902 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:259.16254 2:-2.5672872 3:7.1754665 4:-0.4077519 5:2.6384978 6:-0.44439456 7:2.5118659 8:0.22961478 9:4.1979194 10:-1.6389579 11:1.0066314 12:-3.05295 13:2.1178 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:303.33112 2:16.503635 3:7.3414865 4:-6.4675107 5:7.0143723 6:0.7697064 7:4.926793 8:-2.939829 9:9.5896225 10:-0.06280596 11:3.196989 12:-4.2113624 13:6.4108195 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
