1 1:232.74574 2:2.5132303 3:9.2394705 4:2.3267357 5:1.9676695 6:-2.1496239 7:1.6043067 8:-0.23844704 9:4.430674 10:-2.0763242 11:2.6239007 12:-2.4058602 13:4.0786657 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:232.46669 2:2.992129 3:8.588772 4:0.19468778 5:2.6247122 6:0.39612734 7:2.8052952 8:-1.9645337 9:4.4665666 10:0.13479315 11:2.6265259 12:-4.0148573 13:4.3362966 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:233.37976 2:3.1947749 3:8.878358 4:1.29601 5:2.765091 6:0.09584854 7:3.0648332 8:-3.3304055 9:2.8692977 10:-1.8946316 11:1.8706142 12:-2.1074283 13:3.3428497 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:231.7557 2:1.1520203 3:8.151474 4:1.7304784 5:1.7628317 6:-0.9968539 7:3.7970126 8:0.85267055 9:6.058114 10:1.1908154 11:5.7949395 12:-1.7801152 13:4.6623173 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:233.5849 2:2.6259334 3:8.64526 4:2.280127 5:2.2084117 6:-0.98014 7:3.9996367 8:-1.0661528 9:3.6029017 10:-0.37595025 11:3.9964967 12:-2.1612167 13:5.0627546 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:234.0023 2:4.0448213 3:10.3698 4:3.2436576 5:3.9625108 6:0.6180895 7:3.1507168 8:-3.1433184 9:2.7604654 10:-1.224219 11:3.7147694 12:-2.0724616 13:4.226622 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:230.91109 2:1.064375 3:7.1515923 4:0.9871972 5:1.4573364 6:-1.9741284 7:1.5010486 8:-3.647672 9:0.37358695 10:-3.5789819 11:2.4954853 12:-2.0606482 13:3.9794219 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:230.49417 2:0.955479 3:6.599751 4:0.9032926 5:0.6702422 6:-3.5872457 7:1.2609179 8:-4.1011987 9:0.3923475 10:-1.2535216 11:4.5685244 12:-2.3696363 13:5.1044154 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:232.68506 2:2.0986881 3:9.193681 4:2.052787 5:1.693143 6:-2.0713122 7:0.53767204 8:-2.581591 9:3.0710347 10:-1.0251075 11:2.938789 12:-2.042505 13:5.129892 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:234.10117 2:2.4542508 3:8.361297 4:2.5214682 5:1.8155612 6:-2.4127202 7:1.5315834 8:-2.2540634 9:2.0725076 10:-2.6430874 11:1.7668228 12:-3.3671534 13:3.1928782 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:232.76393 2:2.5255816 3:8.819608 4:2.908054 5:2.7590396 6:-1.6247622 7:1.9201915 8:-1.7292728 9:3.3802354 10:-2.7629802 11:1.8287492 12:-2.4078476 13:4.609772 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:233.24521 2:1.5271611 3:7.490568 4:1.034428 5:1.2837005 6:-2.2556324 7:1.6865208 8:-1.9384604 9:1.7691617 10:-2.5414014 11:2.8910751 12:-1.5894887 13:4.5951376 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:230.87494 2:0.89299524 3:8.688103 4:2.5421376 5:1.6137282 6:-0.5207303 7:2.9713185 8:-3.2096045 9:1.0994471 10:-2.634997 11:2.0379934 12:-2.9761262 13:3.7756267 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:230.99094 2:0.6107689 3:8.051977 4:3.041521 5:1.8861821 6:-1.3605919 7:1.3762944 8:-4.50664 9:0.6075414 10:-2.9911854 11:1.6389937 12:-2.665822 13:5.0641317 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:234.11832 2:2.6510615 3:10.655324 4:4.0071316 5:3.1581883 6:-1.9412258 7:3.0716572 8:-3.317156 9:1.3663983 10:-2.648845 11:2.4548275 12:-2.772619 13:4.08467 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:234.13321 2:1.2808095 3:7.556518 4:1.0401474 5:1.2311552 6:-2.0860167 7:3.076148 8:-1.691926 9:2.2496228 10:-2.6212585 11:1.8283862 12:-3.8495376 13:3.1308095 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:234.64995 2:2.2342174 3:8.994633 4:1.7377753 5:0.44498298 6:-2.5163386 7:2.5412898 8:-2.833634 9:2.616869 10:-2.2685075 11:2.2456298 12:-2.9030426 13:5.0049553 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
