1 1:244.55197 2:-9.714212 3:6.6767306 4:0.11622127 5:0.40250188 6:-0.0035185574 7:2.3795462 8:-1.027315 9:1.8951423 10:-1.3257022 11:0.4636707 12:-1.8444566 13:3.2038805 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.14955 2:-9.779702 3:6.180545 4:-0.19675538 5:0.46817854 6:0.20804642 7:3.4613662 8:1.4738457 9:3.3338034 10:-1.1123639 11:1.5175257 12:-1.6757197 13:2.4744852 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.17339 2:-7.43727 3:8.7569065 4:0.14427744 5:0.8963475 6:-1.2683827 7:0.45074847 8:-0.78707886 9:1.3666897 10:-0.37217665 11:3.6993735 12:-0.4220034 13:2.509135 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:240.61722 2:-9.494021 3:7.2185645 4:1.2930483 5:1.5576596 6:-0.5890214 7:-0.60989815 8:-2.0686872 9:1.1858903 10:-1.1388857 11:1.3477507 12:-2.6755905 13:2.9848168 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:243.30626 2:-10.72764 3:4.5874896 4:-0.5886071 5:0.939907 6:-1.0018176 7:-0.002561352 8:-0.5158585 9:1.6233734 10:-0.36347526 11:3.4372468 12:-0.965861 13:1.9635205 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:243.9694 2:-9.371003 3:5.154668 4:-1.0258831 5:-0.86639565 6:-1.7861077 7:0.71509254 8:-1.8908381 9:1.864417 10:-0.88877136 11:2.714197 12:-1.513236 13:2.1098044 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.3114 2:-7.480545 3:8.169693 4:0.8660912 5:-0.088631555 6:-0.4400406 7:1.3780282 8:-0.38742328 9:2.1619232 10:-1.5877336 11:2.5973253 12:-1.5880934 13:2.7796109 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.51808 2:-7.2326007 3:7.301378 4:1.4279857 5:2.069943 6:-0.8176139 7:0.35261902 8:-1.5262216 9:2.1398237 10:-0.31893757 11:3.3487089 12:-1.0942943 13:3.7559135 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:243.30075 2:-6.8557334 3:8.905059 4:1.1471275 5:0.016165972 6:-0.2024729 7:1.9708053 8:0.13255934 9:2.275173 10:-1.615184 11:2.1846788 12:-2.0278552 13:1.8261001 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:243.45741 2:-7.6477284 3:7.7368283 4:0.44997036 5:0.5737806 6:-0.14908409 7:0.7897074 8:-0.50956523 9:1.7353293 10:-2.4433222 11:2.5937192 12:-1.5450809 13:2.201169 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
