1 1:229.56023 2:0.944315 3:6.600754 4:2.7129202 5:2.1697953 6:-1.2131288 7:1.5901073 8:-0.58412963 9:3.1907167 10:-1.1980964 11:4.152472 12:-3.2975218 13:1.7233974 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:230.8825 2:1.6868213 3:6.3773336 4:1.2048222 5:1.8844172 6:-1.987403 7:1.9952369 8:-2.5294385 9:1.9629133 10:-2.0777526 11:3.5139358 12:-2.5835664 13:3.052096 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:231.43335 2:1.5236967 3:7.290074 4:1.9030212 5:2.4297895 6:-1.5665158 7:1.2373508 8:-2.5760334 9:3.978681 10:-0.90781206 11:3.2907033 12:-2.518016 13:3.5522535 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:232.10689 2:1.5581753 3:7.8934865 4:0.16645321 5:0.37225103 6:-2.9231288 7:-1.2972913 8:-4.0188317 9:2.4870186 10:-1.4956439 11:2.5902686 12:-3.3892932 13:4.289902 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:233.96036 2:0.9582042 3:4.514627 4:-0.2739032 5:-0.49089888 6:-4.0008135 7:-1.4758177 8:-4.569823 9:1.9573607 10:-2.1765623 11:3.3963013 12:-2.704892 13:4.693136 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:236.02182 2:1.8755877 3:4.681046 4:1.893221 5:0.2132159 6:-2.2879577 7:-0.10022931 8:-5.2173247 9:1.96232 10:-2.8598497 11:3.3945448 12:-2.3687181 13:4.7954283 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:235.50163 2:2.1392028 3:5.626252 4:1.7118638 5:0.44718352 6:-1.4665185 7:0.96329784 8:-3.644192 9:2.5021694 10:-3.167767 11:2.2781124 12:-3.6156938 13:4.9331756 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:238.87001 2:1.8899286 3:7.45412 4:2.3375456 5:-0.79825443 6:-2.9556203 7:0.38751954 8:-4.680045 9:2.7781274 10:-3.7899182 11:2.8129656 12:-1.4496875 13:5.8435507 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:235.10329 2:-0.20135278 3:6.0541697 4:1.4156759 5:-0.5351554 6:-3.566149 7:-0.6259287 8:-3.745179 9:2.0163348 10:-3.8959098 11:0.24463284 12:-3.7850695 13:4.3000755 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:241.44086 2:3.438985 3:7.564016 4:2.9832892 5:1.1988958 6:-3.471644 7:0.013889064 8:-5.4758196 9:0.96943194 10:-4.30438 11:1.5537019 12:-3.2516408 13:4.5961185 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:234.9241 2:1.1081152 3:5.6570854 4:0.22147998 5:-0.30265853 6:-4.088906 7:0.09414565 8:-5.188693 9:1.4874021 10:-3.8463109 11:1.1064814 12:-2.1382253 13:4.2781715 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:237.4417 2:2.0152373 3:5.7202234 4:0.9516158 5:0.75629544 6:-2.2370114 7:0.8569524 8:-3.934763 9:1.3049687 10:-3.8444977 11:1.513663 12:-2.55092 13:4.421603 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:234.55832 2:1.896614 3:6.742006 4:2.1945593 5:1.5575334 6:-2.0974944 7:1.9280521 8:-3.3528962 9:2.5529716 10:-3.4532328 11:0.9132529 12:-4.756735 13:2.6381118 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:233.58795 2:1.0526484 3:7.2439857 4:1.7643989 5:1.0434135 6:-3.0354931 7:1.5399692 8:-1.9452631 9:2.9560556 10:-2.4165504 11:2.8004234 12:-3.5851479 13:2.1921272 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:236.06895 2:2.7317767 3:7.2709904 4:1.132128 5:2.4743469 6:-0.882748 7:2.101003 8:-0.69826764 9:3.9001558 10:-2.359759 11:3.0309143 12:-2.8725905 13:4.502346 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:235.76485 2:3.0766528 3:7.0307145 4:1.4377043 5:1.2969669 6:-1.4862412 7:1.402708 8:-2.2845004 9:2.3401556 10:-1.6523964 11:3.7739272 12:-2.41482 13:5.01683 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:233.93814 2:0.6582549 3:6.374449 4:1.7137777 5:0.5293506 6:-3.022734 7:1.5066783 8:-1.8133819 9:2.7957842 10:-2.0953639 11:3.2383523 12:-1.2878053 13:5.5855117 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:230.59903 2:0.4639876 3:5.3111515 4:0.25542733 5:1.060138 6:-1.4477123 7:0.86497223 8:-3.2254307 9:3.8279083 10:-0.9729221 11:2.7983265 12:-2.5230753 13:2.9685147 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:232.96391 2:1.0645642 3:5.7014747 4:1.1303976 5:1.2113345 6:-1.890301 7:1.3920218 8:-2.2362685 9:2.591251 10:-1.9842862 11:3.8407292 12:-1.7716436 13:3.940951 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
