1 1:264.50317 2:1.3815644 3:-0.11954434 4:-1.6141257 5:3.5478387 6:-5.619732 7:-0.84558856 8:-2.0267334 9:5.005877 10:-3.2060406 11:2.8487465 12:-0.46069705 13:3.312901 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:263.79343 2:1.4645953 3:1.4952234 4:-0.52499604 5:4.7316976 6:-3.885501 7:-0.38025457 8:-1.3856833 9:6.8814807 10:-1.9870533 11:2.7289565 12:0.13416977 13:4.3914685 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:257.66595 2:-1.3251386 3:-0.21947415 4:-0.81270415 5:2.3478336 6:-3.370987 7:-1.0456674 8:-0.02990886 9:7.759868 10:-0.68216074 11:3.3534954 12:-2.192003 13:2.3574944 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:259.11444 2:-0.09140862 3:1.7747669 4:-1.47098 5:3.5906165 6:-1.9332392 7:0.28165442 8:0.66381156 9:4.2516437 10:-4.217005 11:1.8088833 12:-4.2448707 13:0.9894059 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:253.79224 2:-2.2826617 3:2.2839344 4:0.60388815 5:3.85609 6:-3.068006 7:0.011525007 8:-1.8121762 9:3.6293979 10:-0.24640284 11:1.6221316 12:-3.1512532 13:2.9913256 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:252.2074 2:0.094496466 3:5.4886928 4:0.2352096 5:1.3576217 6:-3.0782392 7:2.0703597 8:0.11847542 9:4.707096 10:-0.9504002 11:2.1451154 12:-1.916098 13:4.188499 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:259.32986 2:-4.9822845 3:2.3452637 4:0.22725514 5:0.7927563 6:-0.7695656 7:1.6000378 8:0.71438086 9:5.0413356 10:0.753714 11:4.9537845 12:-4.5866375 13:5.2240143 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:253.90625 2:-2.542007 3:5.224286 4:0.11064745 5:1.302268 6:-3.6144388 7:-0.14880052 8:-0.17790283 9:4.2896366 10:-0.59106034 11:4.4114122 12:-1.8659583 13:4.833345 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:248.5594 2:-0.94224507 3:6.7690454 4:0.26009154 5:1.1559265 6:-4.092125 7:0.7881377 8:-2.0470212 9:1.794935 10:-2.0534015 11:2.3191905 12:-1.8937984 13:2.5714827 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:249.69089 2:-2.4008722 3:6.0847993 4:1.1177193 5:1.0619229 6:-2.79414 7:-0.78929365 8:-3.9225183 9:-0.097747974 10:-1.3760202 11:4.4658113 12:-0.88907164 13:2.9196308 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
