1 1:250.39307 2:-6.9002066 3:10.034064 4:1.6834044 5:0.7778367 6:1.0475839 7:3.0993965 8:-0.28963366 9:3.1873145 10:-1.2076067 11:2.748392 12:-1.6368974 13:3.6532037 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:246.2348 2:-7.4977136 3:8.786802 4:2.46648 5:3.4905133 6:1.1430409 7:2.7557871 8:-0.57373595 9:2.8360224 10:-0.83189565 11:4.2395554 12:-0.86873597 13:2.9530125 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:249.39749 2:-5.447321 3:11.149792 4:3.578724 5:3.9252636 6:-0.40102774 7:1.9645659 8:-0.5606235 9:1.8072301 10:-1.7404485 11:3.152621 12:-0.63968116 13:4.095894 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:248.59555 2:-8.082041 3:9.933077 4:2.5628808 5:3.3356595 6:1.0822389 7:2.0451846 8:-0.6801627 9:1.5846996 10:-1.9670389 11:2.0831807 12:-0.7934201 13:4.650221 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:244.52435 2:-7.8132133 3:9.496885 4:2.384855 5:1.5018363 6:-0.80762815 7:1.2084066 8:-2.816974 9:0.61014295 10:-0.3577027 11:2.3763206 12:-1.6298255 13:2.6724477 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:244.11322 2:-10.66252 3:7.0052457 4:1.5068083 5:0.89315253 6:-0.4482031 7:2.1916544 8:0.8345494 9:3.6303627 10:0.32801878 11:3.5464804 12:-0.5532964 13:3.1775112 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:256.2129 2:-2.6010175 3:12.1956215 4:3.5207877 5:2.2078211 6:0.15483338 7:3.597214 8:-1.290503 9:1.591158 10:-2.2036102 11:2.1870039 12:-4.105045 13:0.5262647 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:249.79427 2:-8.543186 3:10.85421 4:3.3012497 5:3.2951438 6:1.70726 7:2.2847126 8:-1.3768368 9:2.488238 10:-1.0630945 11:1.8792722 12:-0.95502084 13:2.9194508 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:246.49133 2:-9.068665 3:6.833365 4:-0.6564732 5:0.34041342 6:-0.24552344 7:1.8570392 8:-1.3526087 9:0.6436745 10:-2.7189047 11:2.6693873 12:-0.012126885 13:2.9740877 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:247.6159 2:-7.6620913 3:6.6422825 4:-1.56879 5:0.74381334 6:0.34060934 7:1.3661472 8:-1.2891082 9:1.6681591 10:0.7386346 11:2.9321473 12:-1.9277531 13:2.6510658 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
