1 1:218.37248 2:2.8017645 3:10.1696825 4:3.9856973 5:3.8421266 6:-1.2376837 7:2.5304463 8:-0.11008051 9:2.874943 10:-1.609235 11:2.6217904 12:-4.7222724 13:3.225842 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:214.0254 2:-2.04264 3:5.259213 4:1.2004135 5:1.6982226 6:0.2724563 7:2.6858594 8:-1.7425401 9:3.6129704 10:-1.291901 11:2.4553885 12:-2.858754 13:2.1367064 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.7072 2:1.042296 3:8.121723 4:3.409093 5:3.652522 6:-1.6401515 7:0.401022 8:-2.851069 9:2.8767705 10:-2.0711 11:3.821238 12:-2.527537 13:2.268258 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.65274 2:1.5847512 3:7.202607 4:1.9978782 5:2.5337672 6:-1.4537959 7:3.1733298 8:-1.2059574 9:4.0787306 10:-1.7658106 11:2.980404 12:-1.8492547 13:5.2067833 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:220.26216 2:1.3242322 3:8.533689 4:3.6275792 5:2.563603 6:0.25239748 7:3.671386 8:-1.8820304 9:3.7538443 10:-1.6200111 11:2.544786 12:-2.1902084 13:4.05534 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:239.95442 2:-8.309853 3:-1.9818916 4:6.892431 5:-0.8349635 6:3.8412087 7:1.7893283 8:-7.001788 9:10.336574 10:-3.442998 11:-0.45628488 12:-2.8299358 13:6.9604774 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:225.61758 2:-1.5151365 3:6.299737 4:6.3753443 5:1.7897097 6:1.8874159 7:1.9718256 8:-3.9048295 9:6.0715804 10:-2.4808245 11:-0.12593728 12:-2.6013734 13:4.273295 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.03929 2:1.925574 3:10.47485 4:1.9600563 5:0.31759784 6:-0.7822161 7:3.250945 8:-1.7554306 9:2.330575 10:-0.52057135 11:2.300076 12:-3.2635062 13:3.375099 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:216.94646 2:1.4905142 3:9.850565 4:3.3357775 5:2.9976718 6:0.72094035 7:3.488181 8:-2.8771617 9:2.1707826 10:-0.124414355 11:3.6550434 12:-1.5657407 13:4.880555 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.12865 2:0.8564885 3:9.07427 4:2.9553869 5:1.8789446 6:-1.1484379 7:2.467716 8:-0.8802053 9:3.5632012 10:-0.59339696 11:5.6057367 12:0.0023356609 13:4.81682 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.43362 2:2.788667 3:9.279179 4:3.0974414 5:1.3378799 6:-1.3439585 7:2.9754739 8:-2.5284417 9:1.3650895 10:-1.6809092 11:3.6743536 12:-2.581499 13:4.1102004 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.53111 2:1.803906 3:7.9368443 4:2.4715722 5:1.4396821 6:-3.0218644 7:2.6320791 8:-0.13348933 9:2.2500181 10:-3.143615 11:2.3920445 12:-4.02322 13:3.7468388 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:220.67523 2:2.1325731 3:8.309031 4:2.303507 5:3.1174045 6:-1.2550907 7:3.9905174 8:-0.59412557 9:2.5544405 10:-1.8583021 11:2.384014 12:-3.8917487 13:3.7602744 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:216.7451 2:1.051577 3:7.9873476 4:3.1468678 5:3.4200323 6:-2.0489566 7:2.767873 8:-0.7255623 9:2.7569885 10:-1.8691407 11:2.942747 12:-1.4262049 13:3.6988807 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
