1 1:243.07544 2:-10.060686 3:6.176291 4:0.30140597 5:1.6156617 6:1.2830374 7:2.8415766 8:1.4367114 9:1.3443583 10:-2.3339465 11:1.4509695 12:-2.338037 13:1.554055 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:244.29535 2:-8.582799 3:7.825833 4:0.5791069 5:2.1486282 6:1.719965 7:2.5421305 8:0.16226628 9:2.8664944 10:-0.85027176 11:1.0501201 12:-2.371892 13:2.8627264 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:245.53447 2:-6.971499 3:8.2559805 4:0.8370136 5:-0.43092492 6:-1.1633658 7:1.501325 8:-2.3141026 9:1.374645 10:-1.5205044 11:1.5606529 12:-1.8056691 13:1.8196568 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:241.97308 2:-10.396924 3:6.697425 4:0.8415375 5:-0.24873829 6:-0.20950052 7:1.302693 8:-0.6125859 9:1.7319102 10:-2.0621274 11:1.3275048 12:-1.0123963 13:3.7611876 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:244.27449 2:-7.9934916 3:9.216668 4:0.6718024 5:0.6308382 6:-1.0071952 7:-0.6651413 8:-1.5097666 9:3.183614 10:-0.11962627 11:1.8384418 12:-1.910194 13:3.3415198 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:266.70038 2:0.8502678 3:2.4988189 4:-10.557551 5:-2.9117653 6:-0.53638005 7:3.0853019 8:-0.65233594 9:3.0320504 10:-1.8090538 11:4.4563394 12:-1.1314483 13:3.1910534 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:255.57307 2:-3.716355 3:6.0153985 4:-4.8351703 5:0.500921 6:-0.1508031 7:2.8207405 8:1.0440847 9:3.6071188 10:-1.06476 11:3.3061185 12:-0.7551604 13:1.5515671 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:252.44441 2:-8.280153 3:1.2631465 4:-0.020518254 5:2.0457659 6:-3.1010637 7:-0.2956732 8:0.15331861 9:3.060536 10:-2.993447 11:0.39475173 12:-1.7008893 13:3.5960197 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:263.38895 2:-1.2294699 3:1.5052153 4:-6.310982 5:3.50232 6:1.329282 7:3.3933864 8:-1.2939318 9:2.9887419 10:-2.6781173 11:0.7222232 12:-2.1439972 13:4.061479 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:251.5577 2:-8.4515705 3:3.3027024 4:-0.583818 5:0.77482706 6:-1.0452913 7:1.162513 8:0.43617138 9:3.5655646 10:-1.1702768 11:1.4347702 12:-2.24105 13:4.52812 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
