1 1:244.79161 2:-8.7501955 3:6.443567 4:-0.6376247 5:-1.3343209 6:-2.0199304 7:1.6494169 8:-1.1991858 9:2.442754 10:-2.7206721 11:0.69990075 12:-2.532613 13:1.3067964 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:245.56221 2:-6.633496 3:7.4007907 4:0.27734417 5:1.0671948 6:-0.9394546 7:1.7602745 8:-0.9766283 9:0.23485152 10:-3.0121272 11:1.5440162 12:-1.9592291 13:2.7394774 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:244.946 2:-6.3293333 3:9.8342905 4:-0.091641285 5:0.06799738 6:0.28501606 7:1.3908583 8:0.2593637 9:1.4114444 10:-1.865986 11:3.141448 12:-1.4651629 13:2.4144332 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.03026 2:-7.2084537 3:9.281495 4:1.5823975 5:0.28305265 6:-0.9207102 7:0.31829464 8:0.46069452 9:1.6344239 10:-3.0785248 11:1.4940765 12:-0.74590474 13:3.4540133 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:245.80678 2:-6.4826856 3:7.077895 4:-1.845386 5:-0.42221197 6:0.26472592 7:1.0202712 8:-1.2784284 9:1.7949079 10:-2.4093728 11:1.1318985 12:-3.2277358 13:2.0726187 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:248.65564 2:-5.5594883 3:8.062124 4:-0.7557299 5:0.84965366 6:-0.21386969 7:1.8966433 8:-0.88796073 9:2.6358247 10:-0.8806493 11:2.8887322 12:-1.5023873 13:1.041409 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:248.48451 2:-6.371351 3:6.602556 4:-0.013801027 5:0.51763946 6:-1.4396297 7:0.9328316 8:-1.7371819 9:1.261503 10:-1.7949622 11:1.7726183 12:-2.162252 13:1.8795788 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:244.97675 2:-7.870241 3:9.468859 4:1.0531703 5:1.2440532 6:0.12581018 7:1.8152659 8:-0.57079154 9:0.5587836 10:-2.8000731 11:1.9178156 12:-1.610621 13:1.131108 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.1789 2:-6.974025 3:7.2627263 4:0.25617215 5:0.15292701 6:-1.5663353 7:0.8493799 8:-0.91787964 9:1.7142917 10:-2.5648682 11:1.2923346 12:-1.8021904 13:2.5739963 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:247.25174 2:-5.8889565 3:7.7808576 4:-0.5940562 5:-1.0625939 6:-0.8484689 7:2.348015 8:0.3341938 9:2.0883954 10:-1.8411598 11:2.7182155 12:-2.0590189 13:1.748535 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
